id,title,description,availability,condition,price,sale_price,link,image_link,brand,google_product_category,fb_product_category
1,"Black Embroidered Kurta with Pants","Add timeless elegance to your wardrobe with this black embroidered kurta with pants for women. The kurta features intricate embroidery on a rich black base, offering a perfect balance of tradition and modern style. Paired with Pants, this outfit ensures both comfort and sophistication.","in stock",new,"INR 2000","INR 1800",http://127.0.0.1:8000/product/black-embroidered-kurta-with-pants/1,,"Auraachic - Knitwear Sets","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
2,"Women’s Olive Green Woolen Kurta Set with Floral Embroidery","Add elegance and comfort to your winter wardrobe with this beautifully embroidered olive green woolen kurta set. The kurta features vibrant floral embroidery on the neckline, sleeves, and hemline, giving it a graceful and festive appeal.","in stock",new,"INR 2000","INR 2000",http://127.0.0.1:8000/product/womens-olive-green-woolen-kurta-set-with-floral-embroidery/2,,"Auraachic - Single Pherans","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
3,"Women’s Purple Woolen Kurta Set with Multicolor Floral Embroidery","Step into elegance with this rich purple woolen kurta set, beautifully adorned with intricate multicolor floral embroidery. The kurta features detailed threadwork on the neckline, sleeves, and hemline, adding a vibrant and graceful touch.","in stock",new,"INR 2000","INR 2000",http://127.0.0.1:8000/product/womens-purple-woolen-kurta-set-with-multicolor-floral-embroidery/3,,"Auraachic - Single Pherans","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
4,"Airforce Blue Embroidered Cotton Kurta Set with Dupatta","Elevate your ethnic wardrobe with this blue embroidered kurta set crafted in soft woolen fabric. Designed with a V-neckline and delicate floral thread embroidery on the yoke and hemline, this outfit offers both comfort and elegance.","in stock",new,"INR 2500","INR 2250",http://127.0.0.1:8000/product/airforce-blue-embroidered-cotton-kurta-set-with-dupatta/4,,"Auraachic - Knitwear Sets","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
5,"Black Multicolor Embroidered Kurta Set with Pants and Stole","Make a chic statement with this black embroidered kurta set featuring vibrant multicolor threadwork. The kurta is designed with a V-neckline and full sleeves, beautifully adorned with leaf-pattern embroidery on the neckline, hemline, and sleeves.","in stock",new,"INR 2500","INR 2500",http://127.0.0.1:8000/product/black-multicolor-embroidered-kurta-set-with-pants-and-stole/5,,"Auraachic - Full Suit Sets","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
6,"Steel Blue Velvet Kurta Set with Stole","Bring elegance and luxury to your festive wardrobe with this navy blue velvet kurta set. Designed in rich velvet fabric, the kurta features delicate floral embroidery on the neckline, sleeves, and hemline, adding a touch of sophistication.","in stock",new,"INR 2500","INR 2500",http://127.0.0.1:8000/product/steel-blue-velvet-kurta-set-with-stole/6,,"Auraachic - Velvet Suit Sets","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
7,"Airforce Blue Embroidered Co-ord Set with Bell Pants","Step up your style game with this chic airforce blue embroidered co-ord set, designed for a perfect blend of comfort and elegance. The kurta-style top features delicate white floral embroidery on the neckline, sleeves, and hemline, paired with trendy bell-bottom pants that also carry matching embroidery for a coordinated look.","in stock",new,"INR 2000","INR 2000",http://127.0.0.1:8000/product/airforce-blue-embroidered-co-ord-set-with-bell-pants/7,,"Auraachic - Co Ord Sets","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
8,"Black Velvet Frock Kurta Set with Pants","Add timeless elegance to your wardrobe with this stunning black velvet frock set, designed to make you stand out at festive occasions and evening gatherings. The flowy frock-style kurta features delicate embroidery on the neckline with button detailing, paired with straight-fit velvet pants for a graceful yet comfortable look.","in stock",new,"INR 2500","INR 2500",http://127.0.0.1:8000/product/black-velvet-frock-kurta-set-with-pants/8,,"Auraachic - Velvet Suit Sets","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
9,"Black Pheran Style Co-ord Set with Multicolor Floral Embroidery","Bring Kashmiri elegance to your festive wardrobe with this stunning black pheran-style co-ord set. Designed with colorful floral embroidery on the neckline, sleeves, and hemline, this outfit combines comfort with traditional charm.","in stock",new,"INR 2000","INR 2000",http://127.0.0.1:8000/product/black-pheran-style-co-ord-set-with-multicolor-floral-embroidery/9,,"Auraachic - Co Ord Sets","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
10,"Reversible Kashmiri Embroidered Jacket","Step into timeless elegance with this Reversible Kashmiri Embroidered Jacket, crafted to perfection for a versatile winter wardrobe. Designed in a rich maroon base with intricate multicolor Kashmiri floral embroidery, this jacket is a perfect blend of tradition and modern chic.","in stock",new,"INR 1200","INR 1200",http://127.0.0.1:8000/product/reversible-kashmiri-embroidered-jacket/10,,"Auraachic - Winter Tops","Apparel & Accessories > Clothing","Clothing & accessories > Clothing"
